oid,kod KTS,województwo,powierzchnia,rok,TERYT,Przestępstwa stwierdzone przez Policję w zakończonych postępowaniach przygotowawczych wg powiatów (dane kwartalne)|rok|przestępstwa stwierdzone|ogółem
1,011200000000,małopolskie,15183.0,2020,12,69174.0
2,012400000000,śląskie,12333.0,2020,24,117632.0
3,020800000000,lubuskie,13988.0,2020,08,24531.0
4,023000000000,wielkopolskie,29826.0,2020,30,58900.0
5,023200000000,zachodniopomorskie,22905.0,2020,32,35325.0
6,030200000000,dolnośląskie,19947.0,2020,02,74802.0
7,031600000000,opolskie,9412.0,2020,16,15710.0
8,040400000000,kujawsko-pomorskie,17971.0,2020,04,37172.0
9,042200000000,pomorskie,18323.0,2020,22,49381.0
10,042800000000,warmińsko-mazurskie,24173.0,2020,28,26295.0
11,051000000000,łódzkie,18219.0,2020,10,44680.0
12,052600000000,świętokrzyskie,11710.0,2020,26,22683.0
13,060600000000,lubelskie,25123.0,2020,06,29057.0
14,061800000000,podkarpackie,17846.0,2020,18,32214.0
15,062000000000,podlaskie,20187.0,2020,20,17592.0
16,071400000000,mazowieckie,35559.0,2020,14,110260.0
