powiat,Województwo,Przestepstwa_średnia_powiaty,Bezrobotni_średnia_powiaty,Ceny mieszkan,Dochody na mieszkanca,Wynagrodzenie,Rozwody_średnia_powiaty
nowosądecki,małopolskie,0.05515784424066865,0.015018727282791196,242497.0,6290.69,4160.76,0.0006411557408808281
tarnowski,małopolskie,0.014193759708581269,0.009970371767321597,210957.0,5333.95,4149.11,0.000868499282867735
gorzowski,lubuskie,0.015424021382036862,0.005596079959908681,202519.0,5901.75,5012.81,0.001002282977894092
koniński,wielkopolskie,0.008942508054408587,0.014824725304299017,131116.0,5782.76,4184.77,0.0010918625483456745
poznański,wielkopolskie,0.013173976637480213,0.0022866617243382957,335041.0,6356.78,4776.27,0.0010694463924342302
koszaliński,zachodniopomorskie,0.013252105896510229,0.018682310469314078,276635.0,6255.58,4616.89,0.0010679903730445247
drawski,zachodniopomorskie,0.020012277470841007,0.02059107252477418,134655.0,5737.21,4416.33,0.0010348153994562835
myśliborski,zachodniopomorskie,0.01991224595508699,0.008744934336817087,162062.0,5974.11,4503.53,0.0014016271062494287
wałecki,zachodniopomorskie,0.020664039668922867,0.009992646920190803,182538.0,5535.22,4678.73,0.001244367352325647
dzierżoniowski,dolnośląskie,0.016247904536121332,0.005267177844127245,115134.0,5203.7,4690.2,0.0016862904585718112
ząbkowicki,dolnośląskie,0.01725255393352057,0.012067528779975927,115275.0,5589.0,4556.76,0.000956760593808833
włocławski,kujawsko-pomorskie,0.011878610365307948,0.03450840917279775,105159.0,5909.86,4383.49,0.0016388298057812337
bydgoski,kujawsko-pomorskie,0.01344758727029145,0.006117135562801749,258516.0,6132.98,4752.76,0.0021907097056865768
Skierniewice,łódzkie,0.021106697997463036,0.010085466530807462,262841.0,7828.16,4691.83,0.0016011977791178856
Biała Podlaska,lubelskie,0.01875109323071541,0.022354381668707363,197148.0,7560.86,4504.47,0.0015917439216372223
Piekary Śląskie,śląskie,0.15079047792113393,0.009631110303470834,156569.0,6294.59,5375.03,0.0012902053425404324
nowotarski,małopolskie,0.01144528683609515,0.008853802755211646,302352.0,5719.38,4335.07,0.0008603518578385876
białostocki,podlaskie,0.01234534893824652,0.0149922131394082,228851.0,5345.27,4456.25,0.0009758640741656696
łomżyński,podlaskie,0.009402665724437115,0.009127848772157117,223789.0,5848.07,5174.98,0.0008637104214514261
krakowski,małopolskie,0.015635351795415395,0.0075061148335297005,360302.0,5921.48,5788.98,0.0008809657676757186
Tarnów,małopolskie,0.0232506683875726,0.010528256660827878,221795.0,7676.85,5629.79,0.0015856918963768785
Gorzów Wielkopolski,lubuskie,0.026155053434620455,0.0033411806583663003,216377.0,7534.07,4788.88,0.0010597933807408846
częstochowski,śląskie,0.01008509531418379,0.009000037159525845,130337.0,5341.9,4603.86,0.0010404667236446064
Leszno,wielkopolskie,0.029320525942839147,0.006156995512164396,236286.0,8330.92,4824.14,0.001795134241398315
pilski,wielkopolskie,0.018190901610438463,0.006509345245092277,235608.0,5401.36,4928.72,0.0012416245444927707
Zamość,lubelskie,0.01670949130633542,0.01897945993663004,247714.0,8527.67,5013.44,0.0019862225515077953
Przemyśl,podkarpackie,0.014582543788824993,0.027698594473463067,186122.0,7440.19,4522.95,0.0014170607523603948
opolski,opolskie,0.02283475206053236,0.014778408323199568,152896.0,5097.42,4720.08,0.0019423050939062288
opolski,opolskie,0.02283475206053236,0.014778408323199568,152896.0,5097.42,4720.08,0.0009294731907602282
opolski,opolskie,0.02283475206053236,0.007072078625349563,152896.0,5097.42,4720.08,0.0019423050939062288
opolski,opolskie,0.02283475206053236,0.007072078625349563,152896.0,5097.42,4720.08,0.0009294731907602282
opolski,opolskie,0.010927371773111552,0.014778408323199568,152896.0,5097.42,4720.08,0.0019423050939062288
opolski,opolskie,0.010927371773111552,0.014778408323199568,152896.0,5097.42,4720.08,0.0009294731907602282
opolski,opolskie,0.010927371773111552,0.007072078625349563,152896.0,5097.42,4720.08,0.0019423050939062288
opolski,opolskie,0.010927371773111552,0.007072078625349563,152896.0,5097.42,4720.08,0.0009294731907602282
Słupsk,pomorskie,0.019166087714074614,0.005999051620515874,215281.0,7658.25,4841.9,0.0019408696419316064
lubelski,lubelskie,0.008575138526413227,0.007964465243047968,342328.0,5630.81,4253.09,0.0011892058676060322
chrzanowski,małopolskie,0.018179482238067708,0.009683946810560801,181909.0,4924.85,4912.69,0.0015015738421018821
