"Identyfikator
terytorialny
Territorial
identifier",Powiaty,"Ludnosc
 "
201,   bolesławiecki,90103
202,   dzierżoniowski,100813
203,   głogowski,89102
204,   górowski,34870
205,   jaworski,50116
206,   jeleniogórski,63591
207,   kamiennogórski,43239
208,   kłodzki,157996
209,   legnicki,55166
210,   lubański,54254
211,   lubiński,106150
212,   lwówecki,45925
213,   milicki,36999
214,   oleśnicki,107269
215,   oławski,76752
216,   polkowicki,63065
217,   strzeliński,43570
218,   średzki,55079
219,   świdnicki,156921
220,   trzebnicki,85253
221,   wałbrzyski,55611
222,   wołowski,46818
223,   wrocławski,151385
224,   ząbkowicki,64802
225,   zgorzelecki,89188
226,   złotoryjski,43490
261,   Jelenia Góra,79061
262,   Legnica,99350
265,   Wałbrzych,111356
264,   Wrocław,642869
401,   aleksandrowski,55066
402,   brodnicki,79097
403,   bydgoski,118683
404,   chełmiński,51925
405,   golubsko-dobrzyński,45018
406,   grudziądzki,40238
407,   inowrocławski,159814
408,   lipnowski,65750
409,   mogileński,45619
410,   nakielski,86311
411,   radziejowski,40321
412,   rypiński,43486
413,   sępoleński,41056
414,   świecki,98952
415,   toruński,108345
416,   tucholski,48383
417,   wąbrzeski,34194
418,   włocławski,86037
419,   żniński,70190
461,   Bydgoszcz,348190
462,   Grudziądz,94368
463,   Toruń,201447
464,   Włocławek,109883
601,   bialski,110772
602,   biłgorajski,100919
603,   chełmski,78014
604,   hrubieszowski,62847
605,   janowski,45709
606,   krasnostawski,63258
607,   kraśnicki,95348
608,   lubartowski,88352
609,   lubelski,155566
610,   łęczyński,57331
611,   łukowski,106816
612,   opolski,59208
613,   parczewski,34711
614,   puławski,113173
615,   radzyński,58858
616,   rycki,55988
617,   świdnicki,71840
618,   tomaszowski,82762
619,   włodawski,38353
620,   zamojski,106122
661,   Biała Podlaska,57170
662,   Chełm,61932
663,   Lublin,339784
664,   Zamość,63437
801,   gorzowski,71836
802,   krośnieński,54829
803,   międzyrzecki,57565
804,   nowosolski,86156
805,   słubicki,46929
806,   strzelecko-drezdenecki,49009
807,   sulęciński,35193
808,   świebodziński,55790
812,   wschowski,38831
809,   zielonogórski,75559
810,   żagański,78953
811,   żarski,96111
861,   Gorzów Wielkopolski,123609
862,   Zielona Góra,141222
1001,   bełchatowski,112779
1021,   brzeziński,30833
1002,   kutnowski,96569
1003,   łaski,49918
1004,   łęczycki,49747
1005,   łowicki,78099
1006,   łódzki wschodni,72179
1007,   opoczyński,76106
1008,   pabianicki,119291
1009,   pajęczański,51220
1010,   piotrkowski,91353
1011,   poddębicki,41108
1012,   radomszczański,112644
1013,   rawski,48592
1014,   sieradzki,117674
1015,   skierniewicki,38174
1016,   tomaszowski,116519
1017,   wieluński,76256
1018,   wieruszowski,42105
1019,   zduńskowolski,66380
1020,   zgierski,166113
1061,   Łódź,679941
1062,   Piotrków Trybunalski,73090
1063,   Skierniewice,48089
1201,   bocheński,106858
1202,   brzeski,93201
1203,   chrzanowski,124536
1204,   dąbrowski,59174
1205,   gorlicki,108886
1206,   krakowski,279239
1207,   limanowski,131764
1208,   miechowski,48818
1209,   myślenicki,127600
1210,   nowosądecki,216796
1211,   nowotarski,191782
1212,   olkuski,111217
1213,   oświęcimski,153486
1214,   proszowicki,43222
1215,   suski,84232
1216,   tarnowski,201497
1217,   tatrzański,68072
1218,   wadowicki,160006
1219,   wielicki,129136
1261,   Kraków,779115
1262,   Nowy Sącz,83794
1263,   Tarnów,108470
1401,   białobrzeski,33410
1402,   ciechanowski,89423
1403,   garwoliński,108981
1404,   gostyniński,44899
1405,   grodziski,95963
1406,   grójecki,98311
1407,   kozienicki,59997
1408,   legionowski,118585
1409,   lipski,33874
1410,   łosicki,30774
1411,   makowski,44892
1412,   miński,154526
1413,   mławski,72626
1414,   nowodworski,79378
1415,   ostrołęcki,88654
1416,   ostrowski,72328
1417,   otwocki,124352
1418,   piaseczyński,188281
1419,   płocki,110952
1420,   płoński,87054
1421,   pruszkowski,165912
1422,   przasnyski,52511
1423,   przysuski,41455
1424,   pułtuski,51824
1425,   radomski,152291
1426,   siedlecki,81362
1427,   sierpecki,51954
1428,   sochaczewski,85045
1429,   sokołowski,53804
1430,   szydłowiecki,39672
1432,   warszawski zachodni,118613
1433,   węgrowski,65822
1434,   wołomiński,249299
1435,   wyszkowski,74220
1436,   zwoleński,36166
1437,   żuromiński,38515
1438,   żyrardowski,75749
1461,   Ostrołęka,52055
1462,   Płock,119425
1463,   Radom,211371
1464,   Siedlce,78185
1465,Warszawa,1790658
1601,   brzeski,89804
1602,   głubczycki,45552
1603,   kędzierzyńsko-kozielski,93880
1604,   kluczborski,65470
1605,   krapkowicki,63747
1606,   namysłowski,42634
1607,   nyski,135948
1608,   oleski,64293
1609,   opolski,123726
1610,   prudnicki,55237
1611,   strzelecki,74300
1661,   Opole,128035
1801,   bieszczadzki,21664
1802,   brzozowski,65567
1803,   dębicki,135299
1804,   jarosławski,120247
1805,   jasielski,113450
1806,   kolbuszowski,62246
1807,   krośnieński,112283
