oid,kod KTS,powiat,powierzchnia,rok,TERYT,Typ powiatu,TERYT województwa,Województwo,Przeciętne miesięczne wynagrodzenia brutto|ogółem
7,011212210000,nowosądecki,1549.0,2020,1210,powiat,12,małopolskie,4160.76
2,011212416000,tarnowski,1412.0,2020,1216,powiat,12,małopolskie,4149.11
5,020811301000,gorzowski,1214.0,2020,0801,powiat,08,lubuskie,5012.81
40,023015810000,koniński,1578.0,2020,3010,powiat,30,wielkopolskie,4184.77
13,023016121000,poznański,1900.0,2020,3021,powiat,30,wielkopolskie,4776.27
14,023216309000,koszaliński,1653.0,2020,3209,powiat,32,zachodniopomorskie,4616.89
15,023216403000,drawski,1764.0,2020,3203,powiat,32,zachodniopomorskie,4416.33
16,023216410000,myśliborski,1182.0,2020,3210,powiat,32,zachodniopomorskie,4503.53
17,023216417000,wałecki,1415.0,2020,3217,powiat,32,zachodniopomorskie,4678.73
19,030210302000,dzierżoniowski,479.0,2020,0202,powiat,02,dolnośląskie,4690.2
20,030210324000,ząbkowicki,802.0,2020,0224,powiat,02,dolnośląskie,4556.76
21,040410818000,włocławski,1474.0,2020,0418,powiat,04,kujawsko-pomorskie,4383.49
52,040410603000,bydgoski,1394.0,2020,0403,powiat,04,kujawsko-pomorskie,4752.76
54,051011963000,Skierniewice,35.0,2020,1063,miasto na prawach powiatu,10,łódzkie,4691.83
56,060610961000,Biała Podlaska,49.0,2020,0661,miasto na prawach powiatu,06,lubelskie,4504.47
60,012414571000,Piekary Śląskie,40.0,2020,2471,miasto na prawach powiatu,24,śląskie,5375.03
64,011216911000,nowotarski,1474.0,2020,1211,powiat,12,małopolskie,4335.07
69,062013702000,białostocki,2975.0,2020,2002,powiat,20,podlaskie,4456.25
68,062013807000,łomżyński,1355.0,2020,2007,powiat,20,podlaskie,5174.98
73,011212006000,krakowski,1231.0,2020,1206,powiat,12,małopolskie,5788.98
87,011212463000,Tarnów,72.0,2020,1263,miasto na prawach powiatu,12,małopolskie,5629.79
123,020811361000,Gorzów Wielkopolski,86.0,2020,0861,miasto na prawach powiatu,08,lubuskie,4788.88
97,012414604000,częstochowski,1521.0,2020,2404,powiat,24,śląskie,4603.86
151,023015963000,Leszno,32.0,2020,3063,miasto na prawach powiatu,30,wielkopolskie,4824.14
153,023016019000,pilski,1268.0,2020,3019,powiat,30,wielkopolskie,4928.72
299,060611064000,Zamość,30.0,2020,0664,miasto na prawach powiatu,06,lubelskie,5013.44
321,061813462000,Przemyśl,46.0,2020,1862,miasto na prawach powiatu,18,podkarpackie,4522.95
210,031613209000,opolski,1534.0,2020,1609,powiat,16,opolskie,4720.08
234,042214163000,Słupsk,43.0,2020,2263,miasto na prawach powiatu,22,pomorskie,4841.9
242,060611109000,lubelski,1680.0,2020,0609,powiat,06,lubelskie,4253.09
1,011212303000,chrzanowski,370.0,2020,1203,powiat,12,małopolskie,4912.69
102,012414766000,Gliwice,134.0,2020,2466,miasto na prawach powiatu,24,śląskie,6164.02
103,012414778000,Zabrze,80.0,2020,2478,miasto na prawach powiatu,24,śląskie,5232.59
71,012414863000,Chorzów,33.0,2020,2463,miasto na prawach powiatu,24,śląskie,4910.73
104,012414869000,Katowice,165.0,2020,2469,miasto na prawach powiatu,24,śląskie,6525.94
61,012414870000,Mysłowice,66.0,2020,2470,miasto na prawach powiatu,24,śląskie,4763.73
62,012414872000,Ruda Śląska,78.0,2020,2472,miasto na prawach powiatu,24,śląskie,4816.21
105,012414874000,Siemianowice Śląskie,25.0,2020,2474,miasto na prawach powiatu,24,śląskie,5005.69
106,012414876000,Świętochłowice,13.0,2020,2476,miasto na prawach powiatu,24,śląskie,4609.16
110,012414967000,Jastrzębie-Zdrój,85.0,2020,2467,miasto na prawach powiatu,24,śląskie,8377.01
111,012414973000,Rybnik,148.0,2020,2473,miasto na prawach powiatu,24,śląskie,4987.77
316,061813361000,Krosno,44.0,2020,1861,miasto na prawach powiatu,18,podkarpackie,4424.93
112,012414979000,Żory,65.0,2020,2479,miasto na prawach powiatu,24,śląskie,4781.16
116,012415075000,Sosnowiec,91.0,2020,2475,miasto na prawach powiatu,24,śląskie,5008.83
117,012415108000,mikołowski,233.0,2020,2408,powiat,24,śląskie,5002.48
59,012415177000,Tychy,82.0,2020,2477,miasto na prawach powiatu,24,śląskie,5269.32
175,023216663000,Świnoujście,202.0,2020,3263,miasto na prawach powiatu,32,zachodniopomorskie,5517.68
333,061813664000,Tarnobrzeg,85.0,2020,1864,miasto na prawach powiatu,18,podkarpackie,4578.25
42,030210422000,wołowski,675.0,2020,0222,powiat,02,dolnośląskie,5907.36
44,030210564000,Wrocław,293.0,2020,0264,miasto na prawach powiatu,02,dolnośląskie,6140.64
45,040410661000,Bydgoszcz,176.0,2020,0461,miasto na prawach powiatu,04,kujawsko-pomorskie,5252.17
213,040410663000,Toruń,116.0,2020,0463,miasto na prawach powiatu,04,kujawsko-pomorskie,5331.63
46,040410704000,chełmiński,527.0,2020,0404,powiat,04,kujawsko-pomorskie,4492.13
374,071427062000,Płock,88.0,2020,1462,miasto na prawach powiatu,14,mazowieckie,6526.04
72,011212001000,bocheński,649.0,2020,1201,powiat,12,małopolskie,4523.92
74,011212008000,miechowski,676.0,2020,1208,powiat,12,małopolskie,4415.03
75,011212009000,myślenicki,673.0,2020,1209,powiat,12,małopolskie,4525.2
76,011212014000,proszowicki,415.0,2020,1214,powiat,12,małopolskie,4635.66
77,011212019000,wielicki,411.0,2020,1219,powiat,12,małopolskie,5047.98
78,011212161000,Kraków,327.0,2020,1261,miasto na prawach powiatu,12,małopolskie,6482.24
