,Kod,Nazwa,destination,Yij
0,200000.0,dolnośląskie,dolnośląskie,0.0
1,400000.0,kujawsko-pomorskie,dolnośląskie,272.0
2,600000.0,lubelskie,dolnośląskie,418.0
3,800000.0,lubuskie,dolnośląskie,1030.0
4,1000000.0,łódzkie,dolnośląskie,887.0
5,1200000.0,małopolskie,dolnośląskie,452.0
6,1400000.0,mazowieckie,dolnośląskie,604.0
7,1600000.0,opolskie,dolnośląskie,1469.0
8,1800000.0,podkarpackie,dolnośląskie,443.0
9,2000000.0,podlaskie,dolnośląskie,129.0
10,2200000.0,pomorskie,dolnośląskie,266.0
11,2400000.0,śląskie,dolnośląskie,1381.0
12,2600000.0,świętokrzyskie,dolnośląskie,284.0
13,2800000.0,warmińsko-mazurskie,dolnośląskie,204.0
14,3000000.0,wielkopolskie,dolnośląskie,1472.0
15,3200000.0,zachodniopomorskie,dolnośląskie,452.0
16,200000.0,dolnośląskie,kujawsko-pomorskie,170.0
17,400000.0,kujawsko-pomorskie,kujawsko-pomorskie,0.0
18,600000.0,lubelskie,kujawsko-pomorskie,89.0
19,800000.0,lubuskie,kujawsko-pomorskie,91.0
20,1000000.0,łódzkie,kujawsko-pomorskie,221.0
21,1200000.0,małopolskie,kujawsko-pomorskie,94.0
22,1400000.0,mazowieckie,kujawsko-pomorskie,729.0
23,1600000.0,opolskie,kujawsko-pomorskie,33.0
24,1800000.0,podkarpackie,kujawsko-pomorskie,52.0
25,2000000.0,podlaskie,kujawsko-pomorskie,63.0
26,2200000.0,pomorskie,kujawsko-pomorskie,727.0
27,2400000.0,śląskie,kujawsko-pomorskie,275.0
28,2600000.0,świętokrzyskie,kujawsko-pomorskie,47.0
29,2800000.0,warmińsko-mazurskie,kujawsko-pomorskie,468.0
30,3000000.0,wielkopolskie,kujawsko-pomorskie,781.0
31,3200000.0,zachodniopomorskie,kujawsko-pomorskie,279.0
32,200000.0,dolnośląskie,lubelskie,159.0
33,400000.0,kujawsko-pomorskie,lubelskie,68.0
34,600000.0,lubelskie,lubelskie,0.0
35,800000.0,lubuskie,lubelskie,39.0
36,1000000.0,łódzkie,lubelskie,104.0
37,1200000.0,małopolskie,lubelskie,163.0
38,1400000.0,mazowieckie,lubelskie,1316.0
39,1600000.0,opolskie,lubelskie,38.0
40,1800000.0,podkarpackie,lubelskie,487.0
41,2000000.0,podlaskie,lubelskie,103.0
42,2200000.0,pomorskie,lubelskie,114.0
43,2400000.0,śląskie,lubelskie,272.0
44,2600000.0,świętokrzyskie,lubelskie,209.0
45,2800000.0,warmińsko-mazurskie,lubelskie,80.0
46,3000000.0,wielkopolskie,lubelskie,73.0
47,3200000.0,zachodniopomorskie,lubelskie,96.0
48,200000.0,dolnośląskie,lubuskie,748.0
49,400000.0,kujawsko-pomorskie,lubuskie,99.0
50,600000.0,lubelskie,lubuskie,70.0
51,800000.0,lubuskie,lubuskie,0.0
52,1000000.0,łódzkie,lubuskie,83.0
53,1200000.0,małopolskie,lubuskie,68.0
54,1400000.0,mazowieckie,lubuskie,135.0
55,1600000.0,opolskie,lubuskie,49.0
56,1800000.0,podkarpackie,lubuskie,47.0
57,2000000.0,podlaskie,lubuskie,22.0
58,2200000.0,pomorskie,lubuskie,107.0
59,2400000.0,śląskie,lubuskie,156.0
60,2600000.0,świętokrzyskie,lubuskie,36.0
61,2800000.0,warmińsko-mazurskie,lubuskie,56.0
62,3000000.0,wielkopolskie,lubuskie,602.0
